Graph Name,Graph Type,Link,Duplicated?,Data Source,Data Citation?,Tidyverse?,Well-Commented?,Tags,Notes
Bar Plot Combining Two Axes,Bar Plot,https://worldbank.github.io/r-econ-visual-library/BarPlotsCombineTwoAxes.html,No,"This graph is based on Christian, Paul, and Brian Dillon. 2018. ""Growing and Learning When Consumption Is Seasonal: Long-Term Evidence From Tanzania."" Demography 55 (3): 1091–1118. doi:10.1007/s13524-018-0669-4. ",Yes,Yes,Yes,,
Bar Plot Multiple Variables,Bar Plot,https://worldbank.github.io/r-econ-visual-library/BarPlotsMultipleVariables.html,No,This graph uses fictional data created for the purpose of this graph.,Yes,Yes,Yes,,The dataset used here doesn’t make sense/I can’t find it. When we replace it with the dataset that was used on the website (BarPlotsMultipleVariables.dta) the graph doesn’t look correct/it doesn’t follow what the overview says it should do.
Bar Plot Two Variables,Bar Plot,https://worldbank.github.io/r-econ-visual-library/BarPlotsTwoVariables.html,No,"This graph comes from Das, Jishnu, Liana Woskie, Ruma Rajbhandari, Kamran Abbasi, and Ashish Jha. “Rethinking assumptions about delivery of healthcare: implications for universal health coverage.” Bmj 361 (2018).",Yes,Yes,Yes,,
Horizontal Bar Plot – Multiple Variables,Bar Plot,https://worldbank.github.io/r-econ-visual-library/HorizontalBarMultipleVars.html,REMOVE,"Replication files for Daniels B, Dolinger A, Bedoya G, Rogo K, Goicoechea A, Coarasa J, Wafula F, Mwaura N, Kimeu R, Das J. Use of standardised patients to assess quality of healthcare in Nairobi, Kenya: a pilot, cross-sectional study with international comparisons. BMJ Global Health. 2017 Jun 1;2(2):e000333.",Yes,Yes,Yes,,REMOVE
Horizontal Bar Plot – Ordered Multiple Variables,Bar Plot,https://worldbank.github.io/r-econ-visual-library/HorizontalBarOrderGroup.html,No,"The graph comes from the World Bank's World Development Indicators, pulled from the internet directly using the ""WDI"" package. https://datacatalog.worldbank.org/dataset/world-development-indicators",Yes,Yes,Yes,,
Horizontal Bar Plot  ,Bar Plot,https://worldbank.github.io/r-econ-visual-library/HorizontalBarPlot.html,No,"This graph comes from Das, Jishnu, Liana Woskie, Ruma Rajbhandari, Kamran Abbasi, and Ashish Jha. “Rethinking assumptions about delivery of healthcare: implications for universal health coverage.” Bmj 361 (2018).",Yes,Yes,Yes,,
Horizontal Better Bar,Bar Plot,https://worldbank.github.io/r-econ-visual-library/HorizontalBetterbar.html,REMOVE,,No,Yes,Yes,,REMOVE
Horizontal Group SE,Bar Plot,https://worldbank.github.io/r-econ-visual-library/HorizontalGroupSE.html,No,"This graph comes from Satyanarayana S, Kwan A, Daniels B, Subbaraman R, McDowell A, Bergkvist S, Das RK, Das V, Das J, Pai M. “Use of standardised patients to assess antibiotic dispensing for tuberculosis by pharmacies in urban India: A cross-sectional study.” Lancet Infect Dis. 2016 Nov;16(11):1261-1268. Doi: 10.1016/S1473-3099(16)30215-8
",Yes,Yes,Yes,,
Stacked Bar Graphs,Bar Plot,https://worldbank.github.io/r-econ-visual-library/StackBarGraphs.html,No,"This graph comes from Satyanarayana S, Kwan A, Daniels B, Subbaraman R, McDowell A, Bergkvist S, Das RK, Das V, Das J, Pai M. “Use of standardised patients to assess antibiotic dispensing for tuberculosis by pharmacies in urban India: A cross-sectional study.” Lancet Infect Dis. 2016 Nov;16(11):1261-1268. Doi: 10.1016/S1473-3099(16)30215-8
",Yes,Yes,No,,The function needs more comments.
Density CDF,Density Plot,https://worldbank.github.io/r-econ-visual-library/DensityCDF.html,No,This graph uses fictional data created for the purpose of this graph.,Yes,Yes,Yes,,
